22-8-2020 9:51:54 200 13ms 0ko ::1 GET /
22-8-2020 10:3:4 200 16ms 0ko ::1 GET /
22-8-2020 10:4:10 200 2ms 0ko ::1 GET /
22-8-2020 10:5:54 200 10ms 0.127ko ::1 GET /
22-8-2020 10:5:54 200 4ms 0ko ::1 GET /favicon.ico
22-8-2020 10:10:25 200 11ms 0ko ::1 GET /
22-8-2020 10:10:48 200 10ms 0.133ko ::1 GET /
22-8-2020 10:44:3 200 2ms 0ko ::1 GET /
22-8-2020 10:46:47 200 12ms 0.133ko ::ffff:127.0.0.1 GET /
22-8-2020 10:46:54 304 2ms 0ko ::ffff:127.0.0.1 GET /
22-8-2020 10:47:35 200 4ms 0.392ko ::1 GET /
22-8-2020 10:55:8 200 12ms 13.777ko ::1 GET /
22-8-2020 10:55:8 200 10ms 1.651ko ::1 GET /css/main.css
22-8-2020 10:55:8 200 8ms 2.199ko ::1 GET /css/accueil.css
22-8-2020 10:55:8 200 2ms 0ko ::1 GET /img/logos/politix_blanc_1.png
22-8-2020 10:55:8 200 1ms 0ko ::1 GET /img/favicon.ico
22-8-2020 10:55:8 200 5ms 0ko ::1 GET /img/favicons/manifest.json
22-8-2020 10:55:8 200 0ms 0ko ::1 GET /img/favicons/favicon-32x32.png
22-8-2020 10:55:8 200 0ms 0ko ::1 GET /img/favicons/favicon-16x16.png
22-8-2020 10:55:8 200 0ms 0ko ::1 GET /img/favicons/favicon-96x96.png
22-8-2020 10:55:8 200 0ms 0ko ::1 GET /img/favicons/android-icon-192x192.png
22-8-2020 10:56:49 200 4ms 12.352ko ::1 GET /
22-8-2020 10:56:49 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 10:56:49 304 2ms 0ko ::1 GET /css/accueil.css
22-8-2020 10:56:49 200 0ms 0ko ::1 GET /img/logos/politix_blanc_1.png
22-8-2020 10:58:53 200 2ms 12.322ko ::1 GET /
22-8-2020 10:58:53 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 10:58:53 200 4ms 2.202ko ::1 GET /css/accueil.css
22-8-2020 10:59:17 304 3ms 0ko ::1 GET /
22-8-2020 10:59:17 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 10:59:17 200 2ms 2.187ko ::1 GET /css/accueil.css
22-8-2020 10:59:35 304 2ms 0ko ::1 GET /
22-8-2020 10:59:35 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 10:59:35 200 1ms 2.145ko ::1 GET /css/accueil.css
22-8-2020 11:0:35 200 3ms 12.132ko ::1 GET /
22-8-2020 11:0:35 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:0:35 200 2ms 1.984ko ::1 GET /css/accueil.css
22-8-2020 11:1:2 200 2ms 10.369ko ::1 GET /
22-8-2020 11:1:2 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:1:2 304 1ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:1:24 304 2ms 0ko ::1 GET /
22-8-2020 11:1:24 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:1:24 200 2ms 1.972ko ::1 GET /css/accueil.css
22-8-2020 11:2:11 200 3ms 10.37ko ::1 GET /
22-8-2020 11:2:11 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:2:11 304 1ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:2:54 200 1ms 10.383ko ::1 GET /
22-8-2020 11:2:54 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:2:54 304 0ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:3:4 200 2ms 10.383ko ::1 GET /
22-8-2020 11:3:4 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:3:4 304 2ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:3:20 200 2ms 10.373ko ::1 GET /
22-8-2020 11:3:20 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:3:20 304 1ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:3:24 200 2ms 10.374ko ::1 GET /
22-8-2020 11:3:24 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:3:24 304 1ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:4:15 200 2ms 10.236ko ::1 GET /
22-8-2020 11:4:15 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:4:15 200 3ms 1.96ko ::1 GET /css/accueil.css
22-8-2020 11:6:35 200 2ms 10.237ko ::1 GET /
22-8-2020 11:6:35 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:6:35 200 2ms 1.96ko ::1 GET /css/accueil.css
22-8-2020 11:6:52 200 2ms 10.239ko ::1 GET /
22-8-2020 11:6:52 304 2ms 0ko ::1 GET /css/main.css
22-8-2020 11:6:52 304 1ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:7:17 304 3ms 0ko ::1 GET /
22-8-2020 11:7:17 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:7:17 200 3ms 1.96ko ::1 GET /css/accueil.css
22-8-2020 11:7:24 304 1ms 0ko ::1 GET /
22-8-2020 11:7:24 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:7:24 200 3ms 1.96ko ::1 GET /css/accueil.css
22-8-2020 11:7:40 304 2ms 0ko ::1 GET /
22-8-2020 11:7:40 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:7:40 200 2ms 1.96ko ::1 GET /css/accueil.css
22-8-2020 11:8:17 200 2ms 10.224ko ::1 GET /
22-8-2020 11:8:17 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:8:17 304 4ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:14:55 200 2ms 10.303ko ::1 GET /
22-8-2020 11:14:55 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:14:55 304 2ms 0ko ::1 GET /css/accueil.css
22-8-2020 11:15:20 200 3ms 10.299ko ::1 GET /
22-8-2020 11:15:20 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:15:20 200 3ms 1.964ko ::1 GET /css/accueil.css
22-8-2020 11:15:47 304 2ms 0ko ::1 GET /
22-8-2020 11:15:47 304 1ms 0ko ::1 GET /css/main.css
22-8-2020 11:15:47 200 2ms 1.972ko ::1 GET /css/accueil.css
